"Rank","GeneSymbol","GeneId","GO: Molecular Function Score","GO: Molecular Function pValue","GO: Biological Process Score","GO: Biological Process pValue","GO: Cellular Component Score","GO: Cellular Component pValue","Human Phenotype Score","Human Phenotype pValue","Mouse Phenotype Score","Mouse Phenotype pValue","Domain Score","Domain pValue","Pathway Score","Pathway pValue","Pubmed Score","Pubmed pValue","Interaction Score","Interaction pValue","Cytoband Score","Cytoband pValue","Transcription Factor Binding Site Score","Transcription Factor Binding Site pValue","Gene Family Score","Gene Family pValue","Coexpression Score","Coexpression pValue","Coexpression Atlas Score","Coexpression Atlas pValue","ToppCell Atlas Score","ToppCell Atlas pValue","Computational Score","Computational pValue","MicroRNA Score","MicroRNA pValue","Drug Score","Drug pValue","Disease Score","Disease pValue","Average Score","Overall pValue"
11,"ITPR1",3708,0.9997763542761053,7.74593338497289E-4,0.9999994428226678,0.009488768396591789,0.9998734698109306,0.002711076684740511,0.0,0.5,0.0,0.5044539116963594,0.17855567746409567,0.0077459333849728895,0.9000884380329479,0.0017428350116189002,0.999999997037922,0.0029047250193648335,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.0,0.5029047250193648,0.7754912410484129,1.0E-6,0.0,0.5,0.20495857229483486,0.032339271882261815,0.0,0.5,0.9999999999999991,0.1167699457784663,0.9999999999999991,0.0023237800154918666,0.09974124481328114,0.03427575522850503,0.46060333549365795,1.2789786008049475E-7
12,"GRM8",2918,0.9043399763612388,0.010650658404337723,0.9999999594127235,0.009101471727343146,0.999857316466842,0.0029047250193648335,-1.0,0.0,0.5625996872613468,0.0013555383423702555,0.6955388812675652,0.002517428350116189,0.40939666037821504,0.006003098373353989,0.9999992154797716,0.003098373353989156,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.7215509374396384,7.74593338497289E-4,0.0,0.5019364833462432,0.0,0.5,0.15530171038049648,0.0453137103020914,0.0,0.5,0.999999998876403,0.1167699457784663,0.9999999999883395,0.0023237800154918666,0.9578283181459388,0.006390395042602633,0.5560450527274832,1.9417964813861488E-7
13,"GRIN2A",2903,0.9993889849783287,0.0013555383423702555,0.9999999100873884,0.009101471727343146,0.9999999491863812,1.0E-6,0.0,0.5,0.5625996872613468,0.0013555383423702555,0.0,0.5038729666924865,0.6390786888531039,0.0029047250193648335,0.9999951268952458,0.0038729666924864447,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.0,0.5029047250193648,0.0,0.5019364833462432,0.0,0.5,0.25545025644459485,0.024786986831913247,0.0,0.5,1.0,0.1167699457784663,0.9999999999992557,0.0023237800154918666,0.9938434836165752,0.0036793183578621223,0.45337313058798046,3.0561764230441213E-7
14,"GRIA1",2890,0.9769053039473542,0.006971340046475601,0.9999968306412496,0.009876065065840434,0.9999999928906415,1.0E-6,-1.0,0.0,0.5625996872613468,0.0013555383423702555,0.0,0.5038729666924865,0.3537917445226273,0.006777691711851278,0.999999999855144,0.0029047250193648335,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.0,0.5029047250193648,0.0,0.5019364833462432,0.0,0.5,0.4166938627368282,0.011425251742835011,-1.0,0.0,0.9999999999999991,0.1167699457784663,0.9999999999999996,0.0023237800154918666,0.9276290547299432,0.008133230054221533,0.5015072093861737,3.136794761715578E-7
15,"CHRM2",1129,0.0,0.5116189000774594,0.9999999961196429,0.009101471727343146,0.999998241054191,3.872966692486445E-4,-1.0,0.0,0.46331635766604023,0.007552285050348567,0.0,0.5038729666924865,0.6185564058033234,0.003098373353989156,0.9997495154308511,0.005809450038729667,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.0,0.5029047250193648,0.0,0.5019364833462432,0.0,0.5,0.6809877336772936,0.001549186676994578,-1.0,0.0,0.9999999999999969,0.1167699457784663,0.999999999999837,0.0023237800154918666,0.9999543250779337,1.0E-6,0.466508544500384,4.2675431055627655E-7
16,"NPY",4852,0.999259850763941,0.001549186676994578,0.9999921765534872,0.011037955073586367,0.943094848107778,0.014910921766072812,-1.0,0.0,0.5625996872613468,0.0013555383423702555,0.0,0.5038729666924865,0.10717305757927342,0.008133230054221533,0.999999987812975,0.0029047250193648335,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.0,0.5029047250193648,0.0,0.5019364833462432,0.0,0.5,0.21510576123543199,0.03040278853601859,0.0,0.5,0.9999990559016451,0.12141750580945004,0.9999983170071207,0.0029047250193648335,0.9999948273161859,1.0E-6,0.44865763136259024,6.125151930103101E-7
17,"NCAM1",4684,0.0,0.5116189000774594,0.9996473060680037,0.017428350116189,0.9999254574632682,0.0019364833462432224,-1.0,0.0,0.0,0.5044539116963594,0.5094479927161123,0.006003098373353989,0.29237665290520354,0.008133230054221533,0.9999999999986908,0.0029047250193648335,0.0,0.5,0.0,0.5032920216886135,0.7223479059846809,9.682416731216112E-4,0.5887802730936222,9.682416731216112E-4,0.0,0.5019364833462432,0.0,0.5,0.6679357363976671,0.0019364833462432224,0.0,0.5,1.0,0.1167699457784663,0.6668488341908467,0.04860573199070488,0.9992129541024346,9.682416731216112E-4,0.5106422904155605,6.362732088982526E-7
18,"ITPR3",3710,0.9994344858948706,0.0011618900077459333,0.9999995599763166,0.009488768396591789,0.996514984714083,0.005034856700232378,0.0,0.5,0.8726148548374039,1.0E-6,0.17855567746409567,0.0077459333849728895,0.9000884380329479,0.0017428350116189002,0.9988518689136777,0.008326878388845856,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.0,0.5029047250193648,0.0,0.5019364833462432,0.0,0.5,0.04054616080705178,0.10553834237025561,0.0,0.5,0.9999347584503867,0.14542989930286598,0.9999999999999991,0.0023237800154918666,0.0,0.5170410534469404,0.44031038895866037,1.310277317201347E-6
19,"SCN3B",55800,0.9994032611225643,0.0013555383423702555,0.999999999996791,0.009101471727343146,0.9333669971227001,0.0156855151045701,0.0,0.5,0.0,0.5044539116963594,0.0,0.5038729666924865,0.6288230761833933,0.0029047250193648335,0.9525416641986642,0.027885360185902403,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.0,0.5029047250193648,0.4721351981258522,0.001549186676994578,0.0,0.5,0.2680619143602739,0.023237800154918668,0.0,0.5,0.9999999999506145,0.1167699457784663,0.9998169619367023,0.005034856700232378,0.9999305508860775,1.0E-6,0.4460449629583816,1.5071506489494624E-6
20,"CACNG3",10368,0.999875833721236,5.809450038729666E-4,0.9999752805947145,0.012393493415956624,0.999997157965711,7.74593338497289E-4,-1.0,0.0,0.0,0.5044539116963594,0.0,0.5038729666924865,0.9994155236454043,1.0E-6,0.17017533398035475,0.17137877614252517,0.0,0.5,0.0,0.5032920216886135,0.0,0.5023237800154918,0.5637223222873742,9.682416731216112E-4,0.0,0.5019364833462432,0.0,0.5,0.2730796750550113,0.023237800154918668,0.0,0.5,0.999738230204823,0.15743609604957398,0.9999999998415358,0.0023237800154918666,0.0,0.5170410534469404,0.40271285514353544,2.5832080227106147E-6
