"Rank","GeneSymbol","GeneId","GO: Molecular Function Score","GO: Molecular Function pValue","GO: Biological Process Score","GO: Biological Process pValue","GO: Cellular Component Score","GO: Cellular Component pValue","Human Phenotype Score","Human Phenotype pValue","Mouse Phenotype Score","Mouse Phenotype pValue","Domain Score","Domain pValue","Pathway Score","Pathway pValue","Pubmed Score","Pubmed pValue","Interaction Score","Interaction pValue","Cytoband Score","Cytoband pValue","Transcription Factor Binding Site Score","Transcription Factor Binding Site pValue","Gene Family Score","Gene Family pValue","Coexpression Score","Coexpression pValue","Coexpression Atlas Score","Coexpression Atlas pValue","ToppCell Atlas Score","ToppCell Atlas pValue","Computational Score","Computational pValue","MicroRNA Score","MicroRNA pValue","Drug Score","Drug pValue","Disease Score","Disease pValue","Average Score","Overall pValue"
11,"NPC2",10577,0.9844466596796402,7.74593338497289E-4,0.9999999517571582,0.0087141750580945,0.8524348827914591,0.013942680092951201,0.9913454112529972,0.005034856700232378,0.996754083648866,0.006003098373353989,0.0,0.5009682416731216,0.7871537841330948,0.003292021688613478,0.9997845456688588,0.009488768396591789,0.5171243293455707,0.011812548412083656,0.0,0.5029047250193648,0.39134260225974066,1.0E-6,-1.0,0.0,0.3704670734905495,0.016266460108443067,0.0,0.5023237800154918,0.21879575459985412,0.022850503485670023,-1.0,0.0,0.8123894515709618,0.15491866769945778,0.9993407738066078,0.04221533694810225,0.28336864860914357,0.054221533694810226,0.6353080087926685,6.212221626000769E-9
12,"APOC4",346,0.22048146199807644,0.03892331525948877,0.9796136840531424,0.047443841982958944,0.9970426968764451,0.001549186676994578,-1.0,0.0,0.9994036722486658,0.0036793183578621223,0.0,0.5009682416731216,0.9765180252852529,3.872966692486445E-4,0.9999989412336244,0.0052285050348567005,0.0,0.5168474051123161,0.0,0.5029047250193648,0.0,0.5009682416731216,0.5923211103865703,0.0011618900077459333,0.2611213596115451,0.026336173508907823,0.24545711153290825,1.0E-6,0.8160838286637202,9.682416731216112E-4,0.0,0.5027110766847405,0.0,0.6154144074360961,0.9999999999999991,0.015298218435321457,0.7533454966552884,0.023625096824167312,0.5192764953026553,7.843837801502218E-9
13,"FN1",2335,0.7499795018844225,0.005809450038729667,0.9999999999999982,0.0087141750580945,0.812195297799561,0.01839659178931061,0.7599682253406036,0.01723470178156468,0.9908423076233693,0.008907823392718823,0.0,0.5009682416731216,0.2576705516693766,0.013942680092951201,0.9999999999999991,0.005034856700232378,0.2727836344338197,0.0226568551510457,0.0,0.5029047250193648,0.39134260225974066,1.0E-6,0.0,0.5007745933384973,0.6851407275208301,0.004453911696359412,0.0,0.5023237800154918,0.8637663449755881,9.682416731216112E-4,0.0,0.5027110766847405,0.9650794678562999,0.08869093725793958,0.9999999999999991,0.015298218435321457,0.7742178194868953,0.0226568551510457,0.5966989479292403,8.9137515146831E-9
14,"CYP27A1",1593,0.0,0.5193648334624322,0.9918818797072474,0.03814872192099148,0.0,0.5340821068938807,0.9999999999080895,3.872966692486445E-4,0.9999999750159685,1.0E-6,0.0,0.5009682416731216,0.021682587938656368,0.022269558481797055,0.9878130147148163,0.018977536793183578,0.0,0.5168474051123161,0.0,0.5029047250193648,0.0,0.5009682416731216,0.0,0.5007745933384973,0.8019724202408828,0.0017428350116189002,0.24545711153290825,1.0E-6,0.43398619278220935,0.0087141750580945,0.0,0.5027110766847405,0.282672328022105,0.2308288148721921,0.9999999999999991,0.015298218435321457,0.7629890607661632,0.02343144848954299,0.42856427751832066,3.641517420938101E-8
15,"FGA",2243,0.05869602755362945,0.03892331525948877,0.9999992272321961,0.009682416731216111,0.8504538078477524,0.013942680092951201,0.9929874998262901,0.004841208365608056,0.9900657683661463,0.008907823392718823,0.0,0.5009682416731216,0.4718293917662567,0.006777691711851278,0.9999999999999991,0.005034856700232378,0.0,0.5168474051123161,0.0,0.5029047250193648,0.0,0.5009682416731216,0.0,0.5007745933384973,0.2611213596115451,0.026336173508907823,0.24545711153290825,1.0E-6,0.9012648121821862,1.9364833462432224E-4,0.0,0.5027110766847405,0.9149141626918348,0.12006196746707978,0.9999999999999609,0.015298218435321457,0.4924487448832661,0.038729666924864445,0.5265602720631795,4.01663604598923E-8
16,"ABCA12",26154,0.9842227199773386,7.74593338497289E-4,0.9999999657390454,0.0087141750580945,0.0,0.5340821068938807,0.9949234961124921,0.004647560030983733,0.9358868959779626,0.01723470178156468,0.889627056425616,0.001549186676994578,0.9393534480763445,9.682416731216112E-4,0.8656123205329115,0.0453137103020914,0.0,0.5168474051123161,0.0,0.5029047250193648,0.39134260225974066,1.0E-6,0.0,0.5007745933384973,0.5425350126247671,0.008326878388845856,0.0,0.5023237800154918,0.10733590904506328,0.048799380325329204,0.0,0.5027110766847405,0.2819428292282369,0.2308288148721921,0.9983579846586722,0.05073586367157242,0.11778597005516646,0.07552285050348567,0.5109225060463244,7.481224062466652E-8
17,"FURIN",5045,0.6776142564019072,0.007164988381099922,0.9999999999996838,0.0087141750580945,0.9800750012632066,0.0034856700232378003,-1.0,0.0,0.6115860492422697,0.038729666924864445,0.9997440340163216,1.0E-6,0.7754363360934765,0.0034856700232378003,0.9999999977108461,0.005034856700232378,0.0,0.5168474051123161,0.0,0.5029047250193648,0.0,0.5009682416731216,0.7057791183205784,1.9364833462432224E-4,0.0,0.5147172734314485,0.0,0.5023237800154918,0.016958006891801835,0.1140588690937258,0.0,0.5027110766847405,0.9904483581899705,0.05170410534469404,0.9999494532765206,0.028272656855151047,0.3656293248504899,0.04996127033307514,0.5489201136482652,1.1105464758909278E-7
18,"G6PC1",2538,0.0,0.5193648334624322,0.9999629174346892,0.0156855151045701,0.0,0.5340821068938807,0.9999768851386386,0.001549186676994578,0.9999248110175978,0.0019364833462432224,0.0,0.5009682416731216,0.1435992365026664,0.022269558481797055,0.6853207113246668,0.07261812548412083,0.0,0.5168474051123161,0.0,0.5029047250193648,0.0,0.5009682416731216,0.0,0.5007745933384973,0.8406578101672689,9.682416731216112E-4,0.24545711153290825,1.0E-6,0.8844135926492664,5.809450038729666E-4,0.0,0.5027110766847405,0.9999776721312517,0.004066615027110767,0.999999999937239,0.015298218435321457,0.26071905666325296,0.05983733539891557,0.46091842583881726,1.1578465852757347E-7
19,"CD79B",974,0.0,0.5193648334624322,0.37872696146601,0.13032532920216885,0.851295851219373,0.013942680092951201,0.26005970247056287,0.03466305189775368,0.0,0.5416343919442292,0.0,0.5009682416731216,0.0,0.5110379550735864,0.9677285836283293,0.025561580170410533,0.0,0.5168474051123161,0.5835763409653657,1.0E-6,0.39134260225974066,1.0E-6,0.0,0.5007745933384973,0.3704670734905495,0.016266460108443067,0.0,0.5023237800154918,0.15469453525671711,0.03350116189000774,0.10809867656929364,1.9364833462432224E-4,0.5152173104852695,0.20681642137877615,0.9958083564304354,0.060418280402788536,0.037836462600660745,0.07552285050348567,0.346140028472711,1.5274225217964954E-7
20,"PLTP",5360,0.9999476730794552,3.872966692486445E-4,0.9999999958118205,0.0087141750580945,0.9587041641400263,0.0052285050348567005,-1.0,0.0,0.9999917639527568,5.809450038729666E-4,0.0,0.5009682416731216,0.9967023455320014,3.872966692486445E-4,1.0,0.005034856700232378,0.36749178352236234,0.01820294345468629,0.0,0.5029047250193648,0.0,0.5009682416731216,0.0,0.5007745933384973,0.6007424613091167,0.006003098373353989,0.0,0.5023237800154918,0.46555436483258,0.007164988381099922,0.0,0.5027110766847405,0.08985765307621085,0.2308288148721921,0.9999999900720186,0.015298218435321457,0.7676961137028452,0.023237800154918668,0.5392571832540275,2.0744226192359605E-7
